Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.45,2.5,100.0,46.176785714285714,20.0,20.0,3.5,1.138730650154799,35.59479166666667,26.013793103448275,52.1
0.47,3.8,0.0,46.176785714285714,20.0,25.0,5.2220498614958455,1.0,35.59479166666667,26.013793103448275,53.1
0.55,4.03,0.0,46.176785714285714,21.42094017094017,21.955128205128204,2.7,1.2,35.59479166666667,26.013793103448275,25.0
0.47,3.5,100.0,46.176785714285714,20.0,25.0,3.6,1.138730650154799,35.59479166666667,26.013793103448275,41.6
0.48,2.8,100.0,46.176785714285714,19.0,25.0,4.4,1.138730650154799,35.59479166666667,26.013793103448275,27.2
0.7,2.3,100.0,46.176785714285714,19.0,19.0,5.3,1.138730650154799,37.0,26.013793103448275,65.1
0.57,2.8,20.0,46.176785714285714,20.0,20.0,6.3,1.3,35.59479166666667,26.013793103448275,43.0
0.41,3.0800824742268045,75.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,35.6
0.45,3.2,25.0,46.176785714285714,15.0,20.0,5.2220498614958455,0.5,35.59479166666667,26.013793103448275,60.7
0.57,3.5,30.0,37.3,12.0,20.0,10.9,0.6,35.59479166666667,26.013793103448275,38.6
0.57,3.3,50.0,46.176785714285714,20.0,20.0,5.3,1.8,42.0,31.0,44.0
0.47,2.5,0.0,38.4,20.0,20.0,5.2220498614958455,0.9,35.59479166666667,26.013793103448275,39.0
0.45,2.1,0.0,46.176785714285714,19.0,25.0,3.3,0.9,35.59479166666667,26.013793103448275,34.1
0.53,2.7,0.0,46.176785714285714,20.0,19.0,5.2220498614958455,1.8,35.59479166666667,31.0,45.0
0.39,2.6,30.0,46.176785714285714,20.0,30.0,4.9,2.5,35.59479166666667,26.013793103448275,60.8
0.65,3.2,50.0,46.176785714285714,20.0,19.0,5.2,1.7,40.2,26.013793103448275,40.8
0.53,6.5,0.0,46.176785714285714,32.0,15.0,5.2220498614958455,0.2,35.59479166666667,26.013793103448275,39.3
0.45,2.7,50.0,46.176785714285714,20.0,20.0,3.5,1.1,35.59479166666667,26.013793103448275,56.8
0.45,4.4,100.0,46.176785714285714,20.0,25.0,6.8,1.138730650154799,35.59479166666667,26.013793103448275,61.0
0.68,4.8,100.0,37.3,12.0,20.0,10.9,1.138730650154799,35.59479166666667,26.013793103448275,45.1
0.45,3.7,50.0,46.176785714285714,20.0,25.0,6.8,0.8,35.59479166666667,26.013793103448275,60.8
0.46,3.2,100.0,46.176785714285714,32.0,22.0,4.6,1.138730650154799,35.59479166666667,26.013793103448275,36.6
0.51,2.3,100.0,46.176785714285714,20.0,19.0,5.8,1.138730650154799,32.2,26.013793103448275,36.7
0.45,2.6,25.0,46.176785714285714,19.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,38.3
0.5,2.4,100.0,46.176785714285714,25.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,30.2
0.4,2.7,100.0,46.176785714285714,21.42094017094017,21.955128205128204,5.71,3.15,35.59479166666667,26.013793103448275,39.3
0.76,4.5,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,18.9
0.65,3.4,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.3,35.59479166666667,26.013793103448275,38.7
0.45,1.9,0.0,46.176785714285714,16.0,20.0,5.2220498614958455,1.53,35.59479166666667,20.0,66.9
0.45,3.4,64.0,46.176785714285714,19.0,25.0,5.4,0.9,35.59479166666667,26.013793103448275,41.4
0.5,3.1,0.0,46.176785714285714,19.0,19.0,5.2220498614958455,0.3,35.59479166666667,26.013793103448275,36.5
0.51,3.0800824742268045,30.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,26.52
0.41,3.0800824742268045,0.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,35.3
0.43,2.7,100.0,46.176785714285714,32.0,32.0,1.8,1.138730650154799,35.59479166666667,26.013793103448275,34.2
0.57,3.0,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.3,35.59479166666667,26.013793103448275,46.0
0.5,3.0800824742268045,25.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,30.1
