Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.54,3.0,50.0,42.71818181818182,19.0,19.0,5.3,0.5,37.0,23.0,48.9
0.39,2.6,50.0,42.71818181818182,20.0,30.0,4.9,2.5,36.540740740740745,25.13953488372093,61.2
0.34,2.4,100.0,42.71818181818182,25.0,38.0,7.5,1.1553691275167786,36.540740740740745,25.13953488372093,28.4
0.45,3.163619047619047,0.0,38.25,25.0,25.0,5.2,2.9,34.0,22.0,46.24
0.42,2.3,100.0,42.71818181818182,19.0,19.0,5.3,1.1553691275167786,37.0,25.13953488372093,65.1
0.49,3.1,100.0,42.71818181818182,32.0,25.0,1.8,1.1553691275167786,36.540740740740745,25.13953488372093,26.9
0.57,3.1,20.0,42.71818181818182,20.0,25.0,6.3,1.3,36.540740740740745,25.13953488372093,44.9
0.43,2.6,0.0,42.71818181818182,19.0,25.0,5.158959537572255,0.7,36.540740740740745,25.13953488372093,31.1
0.5,2.9,0.0,42.71818181818182,19.0,25.0,5.158959537572255,0.7,36.540740740740745,25.13953488372093,26.7
0.46,3.3,0.0,42.71818181818182,32.0,32.0,5.158959537572255,0.4,36.540740740740745,25.13953488372093,34.3
0.6,5.3,100.0,42.71818181818182,32.0,15.0,5.0,1.1553691275167786,36.540740740740745,25.13953488372093,37.3
0.45,3.163619047619047,75.0,38.25,25.0,25.0,5.2,2.9,34.0,22.0,33.72
0.49,3.1,100.0,42.71818181818182,32.0,32.0,1.8,1.1553691275167786,36.540740740740745,25.13953488372093,26.9
0.45,3.163619047619047,100.0,42.71818181818182,7.0,7.0,4.08,1.96,36.540740740740745,25.13953488372093,39.2
0.29,2.2,30.0,42.71818181818182,20.0,30.0,4.9,2.5,36.540740740740745,25.13953488372093,70.2
0.34,2.8,50.0,42.71818181818182,32.0,32.0,6.0,0.3,36.540740740740745,25.13953488372093,37.8
0.42,2.6,50.0,42.71818181818182,20.0,20.0,3.9,1.2,30.8,29.1,45.1
0.45,3.163619047619047,100.0,42.71818181818182,21.5609756097561,22.30243902439024,6.1,1.2,59.8,25.13953488372093,35.1
0.54,3.1,25.0,42.71818181818182,22.0,25.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,21.6
0.31,2.7,100.0,42.71818181818182,32.0,32.0,6.3,1.1553691275167786,36.540740740740745,25.13953488372093,30.2
0.8,4.2,0.0,42.71818181818182,25.0,25.0,5.158959537572255,1.2,36.540740740740745,25.13953488372093,17.3
0.52,3.2,50.0,42.71818181818182,32.0,22.0,4.6,0.8,36.540740740740745,25.13953488372093,38.3
0.54,2.3,100.0,42.71818181818182,20.0,20.0,3.9,1.1553691275167786,30.8,25.13953488372093,37.7
0.32,5.75,0.0,42.71818181818182,21.5609756097561,22.30243902439024,5.07,1.48,36.540740740740745,25.13953488372093,17.5
0.24,4.5,100.0,42.71818181818182,21.5609756097561,22.30243902439024,4.6,0.5,43.3,30.2,13.9
0.41,1.7,15.0,42.71818181818182,20.0,20.0,3.8,0.7,36.540740740740745,25.13953488372093,49.1
0.41,1.7,45.0,42.71818181818182,20.0,20.0,3.6,0.7,36.540740740740745,25.13953488372093,56.9
0.45,3.2,0.0,37.3,12.0,20.0,5.158959537572255,0.6,36.540740740740745,25.13953488372093,53.3
0.5,3.5,60.0,42.71818181818182,20.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,25.4
0.65,3.2,20.0,42.71818181818182,20.0,19.0,5.2,1.7,40.2,32.0,39.5
0.53,2.2,50.0,42.71818181818182,20.0,19.0,5.3,1.8,42.0,31.0,41.0
0.38,2.0,0.0,42.71818181818182,25.0,38.0,5.158959537572255,1.2,36.540740740740745,25.13953488372093,54.1
0.28,2.4,100.0,42.71818181818182,25.0,38.0,7.5,1.1553691275167786,36.540740740740745,25.13953488372093,28.0
0.48,2.5,50.0,42.71818181818182,20.0,20.0,3.5,1.1,36.540740740740745,25.13953488372093,42.5
0.49,2.5,100.0,42.71818181818182,20.0,20.0,5.3,1.1553691275167786,42.0,25.13953488372093,40.0
0.33,3.163619047619047,0.0,42.71818181818182,25.0,25.0,3.01,0.57,36.540740740740745,25.13953488372093,44.13
0.41,1.7,30.0,42.71818181818182,20.0,20.0,3.8,0.7,36.540740740740745,25.13953488372093,55.9
